brand,category,price,product,review_avg_rating,review_count,url
Dolce&Gabbana,cologne,90,The One For Men Eau de Toilette,4.7,121,https://www.ulta.com/one-men-eau-de-toilette?productId=xlsImpprod1110482
Sexy Hair,hair,18.95,Style Sexy Hair Blow It Up Volumizing Gel Foam,4.4,118,https://www.ulta.com/style-sexy-hair-blow-it-up-volumizing-gel-foam?productId=xlsImpprod5770181
Aquaphor,body ,12.99,Healing Ointment Tube,4.6,117,https://www.ulta.com/healing-ointment-tube?productId=xlsImpprod11821031
Billy Jealousy,shaving,25,Beard Envy Kit,4.5,117,https://www.ulta.com/beard-envy-kit?productId=xlsImpprod6490058
Nioxin,hair,30.75,"Diamax, Hair Thickening & Breakage Protection Treatment For Thinning Hair",4.3,115,https://www.ulta.com/diamax-hair-thickening-breakage-protection-treatment-thinning-hair?productId=xlsImpprod4450423
Duke Cannon Supply Co,skincare,12.5,Standard Issue Face Lotion,4.9,113,https://www.ulta.com/standard-issue-face-lotion?productId=pimprod2002330
Versace,cologne,85,Pour Homme Eau de Toilette,4.9,113,https://www.ulta.com/pour-homme-eau-de-toilette?productId=xlsImpprod890582
Duke Cannon Supply Co,body ,14.99,Tactical Soap on a Rope Pouch,4.7,112,https://www.ulta.com/tactical-soap-on-a-rope-pouch?productId=pimprod2002339
Giorgio Armani,cologne,100,Acqua di Giò Profumo Parfum,4.7,111,https://www.ulta.com/acqua-di-gio-profumo-parfum?productId=xlsImpprod12921007
Duke Cannon Supply Co,shaving,15.5,News Anchor Pomade,4.7,110,https://www.ulta.com/news-anchor-pomade?productId=xlsImpprod16871189
Proactiv,skincare,38,Skin Purifying Mask,4.8,108,https://www.ulta.com/skin-purifying-mask?productId=xlsImpprod14651033
Duke Cannon Supply Co,body ,7.99,Big Ass Brick of Soap - Smells Like Naval Supremacy,4.9,107,https://www.ulta.com/big-ass-brick-of-soap-smells-like-naval-supremacy?productId=xlsImpprod16171033
Coach,cologne,87,For Men Eau de Toilette,4.8,107,https://www.ulta.com/men-eau-de-toilette?productId=xlsImpprod16841001
Duke Cannon Supply Co,body ,9.5,Cold Shower Cooling Field Towels,4.8,107,https://www.ulta.com/cold-shower-cooling-field-towels?productId=xlsImpprod16171041
Gucci,cologne,95,Guilty Cologne Pour Homme Eau de Toilette,4.1,107,https://www.ulta.com/guilty-cologne-pour-homme-eau-de-toilette?productId=pimprod2006020
American Crew,hair,23.95,"3-In-1 Shampoo, Conditioner and Body Wash",4.7,106,https://www.ulta.com/3-in-1-shampoo-conditioner-body-wash?productId=xlsImpprod10271076
Clarisonic,skincare,99,Mia Men Facial Cleansing Device with Charcoal Brush Head,4.3,105,https://www.ulta.com/mia-men-facial-cleansing-device-with-charcoal-brush-head?productId=pimprod2007594
Clinique,skincare,22.5,Clinique For Men Post-Shave Soother,4.4,104,https://www.ulta.com/clinique-men-post-shave-soother?productId=prod2140593
Clinique,skincare,21,Clinique For Men Face Bronzer,4.8,103,https://www.ulta.com/clinique-men-face-bronzer?productId=xlsImpprod2200043
Duke Cannon Supply Co,skincare,8.5,Cannon Balm 140 Degrees Tactical Lip Protectant,4.9,102,https://www.ulta.com/cannon-balm-140-degrees-tactical-lip-protectant?productId=pimprod2002326
Duke Cannon Supply Co,cologne,24.99,Solid Cologne - Air,4.5,100,https://www.ulta.com/solid-cologne-air?productId=xlsImpprod17961405
Proactiv,skincare,40,Skin Smoothing Exfoliator,4.7,99,https://www.ulta.com/skin-smoothing-exfoliator?productId=xlsImpprod14651013
Duke Cannon Supply Co,body ,7.99,Big Ass Brick of Soap - Smells Like Accomplishment,4.8,94,https://www.ulta.com/big-ass-brick-of-soap-smells-like-accomplishment?productId=xlsImpprod16171049
American Crew,hair,14.95,Firm Hold Styling Gel,4.7,94,https://www.ulta.com/firm-hold-styling-gel?productId=xlsImpprod10271100
